OSMP MDR - ISO 20022 Message Definitions (Full eRepository)
Source: ISO 20022 eRepository 2025-04-24
Messages: 810,"Dictionary: 66,956 definitions","D:PACK: 1,170,864 bytes"
cain.006.001.04,ReversalResponseV04,The ReversalResponse message is sent by an issuer or an agent to an acquirer in response to a ReversalInitiation message.
cain.007.001.01,ReconciliationInitiation,"The ReconciliationInitiation message is sent by an acquirer or an agent to an issuer or an agent, to initiate an exchange of totals to be reconciled for debits, credits, chargebacks and other transactions."
cain.008.001.01,ReconciliationResponse,"The ReconciliationResponse message is sent by an issuer or an agent to return the reconciled totals for debits, credits, chargebacks and other transactions."
cain.009.001.01,NetworkManagementInitiation,"The NetworkManagementInitiation message covers the range of activities to control the operating condition of the network and may be initiated by any party to an acquirer, an issuer or an agent."
cain.010.001.01,NetworkManagementResponse,"The NetworkManagementResponse message is sent by an acquirer, an issuer or an agent to answer to an NetworkManagementInitiation message."
cain.011.001.01,KeyExchangeInitiation,"The KeyExchangeInitiation message is sent by any party to an acquirer, an issuer or an agent, to initiate a cryptographic key exchange."
cain.012.001.01,KeyExchangeResponse,"The KeyExchangeResponse message is sent by an acquirer, an issuer or an agent to answer to a KeyExchangeInitiation message and complete a cryptographic key exchange."
cain.013.001.01,AcquirerRejection,"The AcquirerRejection message is sent by any party, to reject an Acquirer to Issuer message."
cain.014.001.03,RetrievalFulfilmentInitiationV03,"The RetrievaFulfilmentInitiation message is sent by an acquirer or agent to an issuer to support an issuer's retrieval request.  The RetrievaFulfilmentInitiation message is the activity initiated by the acceptor, the acquirer or the relevant agent to support the issuer who has determined that a transaction information document needs to be examined before a potential chargeback is sent or to satisfy another need of the issuer or the cardholder. Only an issuer or its agent can initiate a retrieval request."
cain.015.001.03,RetrievalFulfilmentResponseV03,"The RetrievalFulfilmentResponse message is sent by an issuer or acquirer to an agent (processor, agent) in response to a RetrievalFulfilmentInitiation message."
cain.016.001.03,InquiryInitiationV03,"The InquiryInitiation message is sent by an acquirer or agent to an issuer to request information related to the card (e.g. about a cardholder, the availability of funds, etc.)."
cain.017.001.03,InquiryResponseV03,The InquiryResponse message is sent by an issuer or an agent to an acquirer in response to an  InquiryInitiation message.
cain.018.001.03,VerificationInitiationV03,"The VerificationInitiation message can be initiated by any party and received by any party (acquirer, agent or issuer). It conveys information to a receiver requiring verification or authentication.   Examples of usages are: authentication of certificates, assurance levels of tokens, certificate management, address verification, account verification and cheque verification. It is also used to inform the receiver of a verification that has been completed on its behalf."
cain.019.001.03,VerificationResponseV03,"The VerificationResponse message is sent by any party to any party (acquirer, agent or issuer) in response to a VerificationInitiation message."
cain.020.001.03,AmendmentV03,"The Amendment message can be initiated by any party and received by any party (acquirer, agent or issuer).   This message is used to inform the originator that the original message has been corrected/amended and then forwarded to the destination on behalf of the originator. It contains a copy of the original message and any errors found. It may also contain any corrections and/or amendments that were made to the original message. "
cain.021.001.03,RetrievalInitiationV03,The RetrievalInitiation message is sent by an issuer or agent to an acquirer to retrieve the original transaction details.
cain.022.001.03,RetrievalResponseV03,The RetrievalResponse message is sent by an acquirer to an issuer or agent in response to an Retrievalnitiation message.
cain.023.001.03,CardManagementInitiationV03,The CardManagementInitiation message is sent by the acquirer to an issuer or agent to fulfil a request initiated by the cardholder at the point of service for an operation on the card account.
cain.024.001.03,CardManagementResponseV03,The CardManagementResponse message is sent by an issuer or an agent to an acquirer in response to a CardManagementInitiation message.
cain.025.001.03,AddendumInitiationV03,Provides supplemental data in addition to that which is required to complete an authorization initiation or financial initiation.   The supplemental data is associated with an authorization or financial message.
cain.026.001.03,AddendumResponseV03,The AddendumResponse message is sent by an issuer or an agent to an acquirer in response to an AddendumInitiation message.
cain.027.001.03,ChargeBackInitiationV03,The ChargeBackInitiation message is sent by an issuer or agent to an acquirer to fully or partially nullify a previous financial transaction; namely when the issuer determines that a customer dispute exists or that an error or violation of rules has been committed. It is also used to nullify a previous chargeback. Chargebacks have a financial impact and should be computed within reconciliation totals.
cain.028.001.03,ChargeBackResponseV03,The ChargeBackResponse message is sent by an acquirer or an agent to an issuer in response to an ChargeBackInitiation message.
camt.003.001.08,GetAccountV08,"Scope The GetAccount message is sent by a member to the transaction administrator. It is used to request information on the details of one or more accounts held at the transaction administrator, including information on the balances. Usage At any time during the operating hours of the system, the member can query the transaction administrator to get information about the account(s) that the transaction administrator maintains for the member. For example, this may be necessary in order to perform the appropriate liquidity management and the funds transfers between accounts. The member can request information about accounts through a series of criteria, corresponding to the known information stored at the transaction administrator. The query can concern one or more specific accounts, accounts of a particular identification, or a particular type. The purpose of the query may be to obtain one or more types of balance. The member can request information based on the following elements: - account identification - account type (this element can be used to refine the query when the account identification represents, for example, a group of accounts) - balance type (if not present, all balances are requested) - type of counterparty: bilateral or multilateral (note that, by default, a balance is multilateral unless a particular counterparty is specified) - identification of the counterparty when a bilateral balance is requested - balance value date (if not present in the GetAccount message, the ReturnAccount message will contain the latest available balance) This message will be answered by a ReturnAccount message. Additional information on the generic design of the Get/Return messages can be found in the section How to Use the Cash Management Messages."
camt.004.001.10,ReturnAccountV10,"Scope The ReturnAccount message is sent by the transaction administrator to a member. It is used to provide information on the details of one or more accounts held at the transaction administrator, including information on the balances. The Return Account message can be sent as a response to a related GetAccount message (pull mode) or initiated by the transaction administrator (push mode). The push of information can take place either at prearranged times or as a warning or alarm when a problem has occurred. Usage At any time during the operating hours of the system, the member can query the transaction administrator to get information about the account(s) that the transaction administrator maintains for the member. For example, this may be necessary in order to perform the appropriate liquidity management and the necessary funds transfers between accounts. The member can request information about accounts through a series of criteria, corresponding to the known information stored at the transaction administrator. The query can concern one or more specific accounts, accounts of a particular identification, or a particular type. The purpose of the query may be to obtain one or more types of balance. The transaction administrator may also send a ReturnAccount message with pre-defined information, at times previously agreed with the member, or to warn the member about a particular problem that may have arisen and which needs attention. The message from the transaction administrator can contain information based on the following elements:  - account identification - account name - account type (this is used when the account identification represents, for example, a group of accounts) - currency of the account (this is used for example when the account identification represents a group of account in various currencies, or when it is a multi-currency account with one single identifier) - type of balance (if not present in the GetAccount message, all balances will be reported) - bilateral or multilateral limits - related counterparty (when the limit or balance is bilateral) - balance value date (if not present in the GetAccount message, the ReturnAccount message will contain the latest available balance) - number of payments to the additional account information on the generic design of the Get/Return messages can be found in the section How to Use the Cash Management Messages."
camt.005.001.11,GetTransactionV11,"Scope The GetTransaction message is sent by a member to the transaction administrator. It is used to request information about payment instructions held at the transaction administrator. Payment instructions are either sent by the member, debiting or crediting its account at the transaction administrator or received by the transaction administrator, crediting or debiting the member's account. Usage Following normal business flows, transactions registered by the transaction administrator may be queued for later settlement (because of insufficient funds available, or because of risk or liquidity limits, etc.). A transaction may have a series of statuses. These can be transient (such as pending or related types) and final (such as rejected, revoked and/or settled). Members of a system need to have information about the payments queue(s) and must have the ability to take action (that is, to cancel or modify the transaction(s) to be settled). Note, however, that actions by a member will always concern transactions in a transient status. At any time during the operating hours of the system, the member can query the transaction administrator to get information about transactions, whatever their status. These requests will concern either all transactions, all transactions with a particular status or a specific transaction. The member can request information about transactions through a series of criteria, corresponding to the known information stored at the transaction administrator, based on the following elements: - provenance or destination of the payment (payment to/payment from) - transaction reference - transfer value date - payment instruction reference - payment instruction status, as registered at the transaction administrator - instructed amount and/or currency - interbank settlement amount and/or currency - credit/debit indicator of the payment instruction/transaction - SWIFT FIN payment message used for the payment instruction - priority of the payment transaction - period in which the payment instruction should be processed (processing validity time) - instructions given, related to the processing of the transaction - type of payment instructed - account identification (entries booked to a specific account) - entry amount and/or currency - entry debit/credit indicator (if absent, all entries should be reported)."
camt.006.001.11,ReturnTransactionV11,"Scope The ReturnTransaction message is sent by the transaction administrator to a member of the system. It is used to provide information on transactions and booked entries held at the transaction administrator. The Return Transaction message can be sent as a response to a related GetTransaction message (pull mode) or initiated by the transaction administrator (push mode). The push of information can take place either at prearranged times or as a warning or alarm when a problem has occurred. Usage Following normal business flows, transactions registered by the transaction administrator may be queued for later settlement (because of insufficient funds available, because of risk or liquidity limits, etc.). A transaction may have a series of statuses. These can be transient (such as pending or related types) and final (such as rejected or settled). Members of a system need to receive information about the payments queue(s) and must have the ability to take action (that is, cancel or modify the transaction(s) to be settled). Note, however, that actions by a member will always concern transactions in a transient status. At any time during operating hours of the system, the member can query the transaction administrator to get information about transactions, whatever their status. These requests will concern either all transactions, all transactions within a particular status or a specific transaction. The member can request information about transactions through a series of criteria, corresponding to the known information stored within the transaction administrator. Based on the criteria received within the request, the transaction administrator will select items that match the request and report them to the requester. The transaction administrator may also send a ReturnTransaction message with pre-defined information at times previously agreed with the member or to warn the member about a particular problem that may have arisen and which needs attention. The message from the transaction administrator can contain information based on the following elements: - provenance or destination of the payment (payment to/payment from) - transaction reference - transfer value date - payment instruction reference - payment instruction status, as registered at the transaction administrator - instructed amount and/or currency - interbank settlement amount and/or currency - credit/debit indicator of the payment instruction/transaction - message used for the payment instruction - priority of the payment transaction - period in which the payment instruction should be processed (processing validity time) - instructions given, related to the processing of the transaction - type of payment instructed - account identification (entries booked to a specific account) - entry amount and/or currency - entry debit/credit indicator (if absent, all entries should be reported) - status of the entry (pending, booked.) - entry date and time - currency of the account - type of the account - entry reference - entry date - transfer reason - details related to the status of the payment instruction An element that is particular to the Get/Return Transaction pair is the Statement Report. When a GetTransaction message is sent requesting a statement report, the related ReturnTransaction message will provide a pre-defined set of return criteria per transaction. The information returned contains the following details for each transaction: - value date - entry date - debit/credit code - entry amount - method of payment (payment instrument or message type) - entry reference - transaction reference - supplementary details Additional information on the generic design of the Get/Return messages can be found in the section How to Use the Cash Management Messages."
camt.007.001.10,ModifyTransactionV10,"Scope The ModifyTransaction message is sent by a member to the transaction administrator. It is used to request one modification in one payment instruction held at the transaction administrator and sent by the member, debiting or crediting its account at the transaction administrator. Usage Following normal business flows, transactions registered by the transaction administrator may be queued for later settlement (because of insufficient funds available, or because of risk or liquidity limits, etc.). A transaction may have a series of statuses. These can be transient (such as pending or related types) and final (such as rejected, revoked and/or settled). Members of a system need to have information about the payments queue(s) and must have the ability to take action (that is, to cancel or modify the transaction(s) to be settled). Note, however, that actions by a member will always concern transactions in a transient status. For this reason, at any time during the operating hours of the system, the member can request modifications to the features of transient transactions. The member will submit a message requesting modifications in one or more of the following criteria: - instruction given, related to the processing of the transaction - type of payment instructed - priority of payment period in which the payment instruction should be processed (processing validity time) The ModifyTransaction message will contain the new values that the member wants to see applied to the features of the transaction identified in the message. Based on the criteria received within the ModifyTransaction message, the transaction administrator will execute or reject the requested modifications. The transaction administrator may send a Receipt message as a reply to the ModifyTransaction request. To verify the outcome of the request, the member may submit a GetTransaction message with the appropriate search criteria."
camt.007.002.03,RequestToModifyPaymentV03,"Scope The Request To Modify Payment message is sent by a case creator/case assigner to a case assignee. This message is used to request the modification of characteristics of an original payment instruction. Usage The Request To Modify Payment message must be answered with a: - Resolution Of Investigation message with a positive final outcome when the case assignee can perform the requested modification - Resolution Of Investigation message with a negative final outcome when the case assignee may perform the requested modification but fails to do so (too late, irrevocable instruction, one requested element cannot be modified.) - Reject Case Assignment message when the case assignee is unable or not authorised to perform the requested modification - Notification Of Case Assignment message to indicate whether the case assignee will take on the case himself or reassign the case to a subsequent party in the payment processing chain. The Request To Modify Payment message covers one and only one original instruction at a time. If several original payment instructions need to be modified, then multiple Request To Modify Payment messages must be sent. The Request To Modify Payment message can be sent to request the modification of one or several elements of the original payment instruction. If many elements need to be modified, it is recommended to cancel the original payment instruction and initiate a new one. The Request To Modify Payment must be processed on an all or nothing basis. If one of the elements to be modified cannot be altered, the assignment must be rejected in full by means of a negative Resolution Of Investigation message. (See section on Resolution Of Investigation for more details.) The Request To Modify Payment message must never be sent to request the modification of the currency of the original payment instruction. If the currency is wrong, use Request To Cancel Payment message to cancel it and issue and a new payment instruction. The Request To Modify Payment message may be forwarded to subsequent case assignee(s). When a Request To Modify Payment message is used to decrease the amount of the original payment instruction, the modification will trigger a return of funds from the case assignee to the case creator. The assignee may indicate, within the Resolution Of Investigation message, the amount to be returned, the date it is or will be returned and the channel through which the return will be done. The Request To Modify Payment message must never be sent to request the increase of the amount of the original payment instruction. To increase the amount in a payment, the debtor can do one of the following: - Cancel the first payment using a Request To Cancel Payment message and make a new payment with a higher and correct amount. - Simply send a second payment with the supplementary amount. Depending on the requested modification(s) and the processing stage of the original payment instruction, the processing of a request to modify payment case may end with one of the following: - an Additional Payment Information message sent to the creditor of the original payment instruction - a Debit Authorisation Request message sent to the creditor of the original payment instruction - a Request To Cancel Payment message sent to a subsequent case assignee The Request To Modify Payment message can be sent to correct characteristics of an original payment instruction following receipt of an Unable To Apply message. In this scenario, the case identification will remain the same."
camt.008.001.11,CancelTransactionV11,"Scope The CancelTransaction message is sent by a member to the transaction administrator. It is used to request the cancellation of one payment instruction held at the transaction administrator and sent by the member. Usage Following normal business flows, transactions registered by the transaction administrator may be queued for later settlement (because of insufficient funds available, because of risk or liquidity limits, etc.). A transaction may have a series of statuses. These can be transient (such as pending or related types), final (such as rejected, revoked and/or settled) or the status may even be defined as a proprietary status. Members of a system need to have information about the payments queue(s), and must have the ability to take action (that is, to cancel or modify the transaction(s) to be settled). Note, however, that actions by a member will always concern transactions in a transient status. For this reason, at any time during the operating hours of the system, the member can request the cancellation of a transaction that has not received a final status. The member will submit a CancelTransaction message containing the identification of the transaction to be cancelled. Based on the criteria received within the CancelTransaction message, the transaction administrator will execute or reject the requested cancellation. The transaction administrator may send a Receipt message as a reply to the CancelTransaction request. To verify the outcome of the request, the member may submit a GetTransaction message with the appropriate search criteria."
camt.008.002.01,RequestToCancelPayment,"Scope The Request To Cancel Payment message is sent by a case creator/case assigner to a case assignee. This message is used to request the cancellation of an original payment instruction. Usage The Request To Cancel Payment message must be answered with a: - Resolution Of Investigation message with a positive final outcome when the case assignee can perform the requested cancellation - Resolution Of Investigation message with a negative final outcome when the case assignee may perform the requested cancellation but fails to do so (too late, irrevocable instruction.) - Reject Case Assignment message when the case assignee is unable or not authorised to perform the requested cancellation - Notification Of Case Assignment message to indicate whether the case assignee will take on the case himself or reassign the case to a subsequent party in the payment processing chain. A Request To Cancel Payment message concerns one and only one original payment instruction at a time. If several original payment instructions need to be cancelled, then multiple Request To Cancel Payment messages must be sent. When a case assignee successfully performs a cancellation, it must return the corresponding funds to the case assigner. It may provide some details about the return in the Resolution Of Investigation message. The processing of a request to cancel payment case may end with a Debit Authorisation Request message sent to the creditor by its account servicing institution. The Request To Cancel Payment message may be used to escalate a case after an unsuccessful request to modify the payment. In this scenario, the case identification remains the same as in the original Request To Modify Payment message and the element ReopenCaseIndication is set to 'Yes' or 'true'."
camt.009.001.08,GetLimitV08,The GetLimit message is used to request information on the details of one or more limits set by the member (or on behalf of the member) and managed by the transaction administrator.
camt.010.001.09,ReturnLimitV09,"Scope The ReturnLimit message is sent by the transaction administrator to a member of the system. It is used to provide information on the details of one or more limits set by the member (or on behalf of the member) and managed by the transaction administrator. The ReturnLimit message can be sent as a response to a related GetLimit message (pull mode) or initiated by the transaction administrator (push mode). The push of information can take place either at prearranged times or as a warning or alarm when a problem has occurred. Usage At any time during the operating hours of the system, the member can query the transaction administrator to get information about the limit(s) that the transaction administrator manages for the member. The transaction administrator may also send a ReturnLimit message with pre-defined information at times previously agreed with the member or to warn the member about a particular problem that may have arisen and which needs attention. The message from the transaction administrator can contain information on the following elements: - type of risk and/or liquidity limit - value of the limit(s) (default and/or current limit(s) for risk and/or liquidity management) - identification of the system - status of the limit(s) (default and/or current limit(s) for risk and/or liquidity management) - point in time when the limit becomes effective - identification of the counterparty Additional information on the generic design of the Get/Return messages can be found in the section How to Use the Cash Management Messages."
camt.011.001.08,ModifyLimitV08,"Scope The ModifyLimit message is sent by a member to the transaction administrator. It is used to request modifications in the details of one particular, several or all limits set by the member and managed by the transaction administrator. Each ModifyLimit message can alter only one type of limit (current or default). Usage At any time during the operating hours of the system, the member can request modifications in the limits it has set. For example, the reason may be to unlock the payments queue regarding a particular member, or following a risk management decision issued after an exceptional event has occurred. The member will submit a message requesting modifications in one or more of the following criteria:  - type of limit (current/default) - identification of the system - identification of the counterparty - value of the limit(s) (default and/or current limit(s)) - point in time when the limit becomes effective Based on the criteria received within the ModifyLimit message, the transaction administrator will execute or reject the requested modification. The transaction administrator may send a Receipt message as a reply to the ModifyLimit request. To verify the outcome of the request, the member may submit a GetLimit message with the appropriate search criteria."
camt.012.001.08,DeleteLimitV08,"Scope The DeleteLimit message is sent by a member to the transaction administrator. It is used to request the deletion of one particular, several or all limits set by the member and managed by the transaction administrator. The DeleteLimit message may delete several types of current limits (risk or liquidity management limit), based on a multiple requests. Usage The member will submit a DeleteLimit message identifying which limit(s) it wants to delete (current limit risk/liquidity limit concepts have been merged) based on following criteria: - type of limit(s) (current/default) - value of the limit(s) (default and/or current limit(s)) - identification of the counterparty (bilateral limit) Based on the criteria received within the DeleteLimit message, the transaction administrator will execute or reject the requested modifications. The transaction administrator may send a Receipt message as a reply to the DeleteLimit request. To verify the outcome of the request, the member may submit a GetLimit message with the appropriate search criteria."
camt.013.001.04,GetMemberV04,"Scope The GetMember message is sent by a member to the transaction administrator. It is used to request information on static data maintained by the transaction administrator and related to the participants in the system and their membership status vis-a-vis this system. Usage The transaction administrator is in charge of providing the members with business information. The term business information covers all information related to the management of the system, that is, not related to the transactions entered into the system. The type of business information available can vary depending on the system. Among other things, it can refer to information about the membership of the system. At any time during the operating hours of the system, the member can query the transaction administrator to get information about the static data related to the members of the system. The member can request information based on the following elements: - identification of the member within the system - membership status - type of member - contact details for the member: name, address - account number of the member - identification of contact persons for the member This message will be replied to by a ReturnMember message. Additional information on the generic design of the Get/Return messages can be found in the MDR Part 1 section How to Use the Cash Management Messages."
camt.014.001.05,ReturnMemberV05,"Scope The ReturnMember message is sent by the transaction administrator to a member of the system. It is used to provide information on static data maintained by the transaction administrator and related to the participants in the system and their membership status vis-a-vis this system. The ReturnMember message can be sent as a response to a related GetMember message (pull mode) or initiated by the transaction administrator (push mode). The push of information can take place either at prearranged times or as a warning or alarm when a problem has occurred. Usage The transaction administrator is in charge of providing the members with business information. The term business information covers all information related to the management of the system, that is, not related to the transactions entered into in the system. The type of business information available can vary depending on the system. Among other things, it can refer to information about the membership of the system. The member can request information about the members of the system through a series of criteria, corresponding to the known information stored within the transaction administrator. Based on the criteria received within the request, the transaction administrator will select items that will match with the request and report them to the requestor. The transaction administrator may also send a Return Member message with pre-defined information at times previously agreed with the member or to warn the member about a particular problem that may have arisen and which needs the member(s) attention. The message from the transaction administrator can contain information based on the following elements: - identification of the member within the system - membership status - type of member - contact details for the member: name, address - identification of the member's account - identification of contact persons for the member, their role and details."
camt.015.001.04,ModifyMemberV04,"Scope The ModifyMember message is sent by a member to the transaction administrator. It is used to request modifications to the static data related to the profile of a member that the transaction administrator maintains. Usage The transaction administrator is in charge of providing the members with business information. The term business information covers all information related to the management of the system, that is, not related to the transactions entered into the system. The type of business information available can vary depending on the system. Among other things, it can, refer to information about the membership of the system. At any time during the operating hours of the system, the member can request the transaction administrator to modify the information it maintains about the member. The member will submit a message requesting modifications in one or more of the following criteria: - identification of the member - contact information for the member organization: postal address, e-mail address, telephone or fax number - identification of contact persons for the member, their role and/or details (postal address, e-mail address, telephone or fax number) Based on the criteria received within the Modify Member message, the transaction administrator will execute or reject the requested modifications. In principle, the transaction administrator may send a Receipt message as a reply to the ModifyMember request. To verify the outcome of the request, the member may submit a GetMember message with the appropriate search criteria."
camt.016.001.04,GetCurrencyExchangeRateV04,"Scope The GetCurrencyExchangeRate message is sent by a member to the transaction administrator. It is used to request information on static data maintained by the transaction administrator and related to currency exchange details as maintained for the system operations by the transaction administrator. Usage The transaction administrator is in charge of providing the members with business information. The term business information covers all information related to the management of the system, i.e., not related to the transactions created into the system. The type of business information available can vary depending on the system. When a system manages a pool of accounts in various currencies for a member, there is a need to maintain currency exchange details in between the various currencies and the reporting or base currency. The reporting or base currency is used to calculate the actual position of the members in terms of aggregate limits and balances and allow the system to contain risk within the defined and agreed boundaries. The currency exchange details can be fixed for the entire operational day, or regularly updated according to near real time market feeds. At any point in time during operating hours of the system, the member can query the transaction administrator to get information about the static data related to a currency exchange details. The member can request information based on the following elements: - the currency to be converted (source currency) - the currency into which the amount is converted (target currency) This message will be replied to by a ReturnCurrencyExchangeRate message."
camt.017.001.05,ReturnCurrencyExchangeRateV05,"Scope The ReturnCurrencyExchangeRate message is sent by the transaction administrator to a member of the system. It is used to provide information on static data and related to currency exchange details as maintained for system operations by the transaction administrator. The ReturnCurrencyExchangeRate message can be sent as a response to a related GetCurrencyExchangeRate message (pull mode) or initiated by the account servicer (push mode). The push of information can take place either at prearranged times or as a warning or alarm when a problem has occurred. Usage The transaction administrator is in charge of providing the members with business information. The term business information covers all information related to the management of the system, that is, not related to the transactions or requests created in the system. The type of business information available can vary depending on the system. When a system manages a pool of accounts in various currencies for a member, it needs to maintain currency exchange details between the various currencies and the reporting on base currency. The reporting on base currency is used to calculate the actual position of the members in terms of aggregate limits and balances. It also allows the system to contain risk within defined and agreed boundaries. The currency exchange details can be fixed for the entire operational day or regularly updated according to near real-time market feeds. The member can request information about a currency exchange operation through a series of criteria, corresponding to the known information stored within the transaction administrator. Based on the criteria received within the request, the transaction administrator will select items that will match with the request and report them to the requestor. The transaction administrator may also send a Return Currency Exchange Rate message with pre-defined information at times previously agreed with the member or to warn the member about a particular problem that may have arisen and which needs the member(s) attention. The message from the transaction administrator will contain information based on the following elements: - the currency to be converted (source currency) - the currency into which the amount is converted (target currency) - the exchange rate - the quotation date and currency Additional information on the generic design of the Get/Return messages can be found in the MDR Part 1 section How to Use the Cash Management Messages."
camt.018.001.05,GetBusinessDayInformationV05,"Scope The GetBusinessDayInformation message is sent by a member to the transaction administrator. It is used to request information on different types of administrative data linked to the system. Usage The transaction administrator is in charge of providing the members with business information. The term business day information covers all information related to the management of the system, not related to the transactions created in the system. The type of business day information available can vary depending on the system. At any time during the operating hours of the system, the member can query the transaction administrator to get information about the static data of the system. The member can request information based on the following elements: - identification of the system - currency within the system concerned - status of the system - period of availability of a given currency linked to the system concerned (in case the system handles more than one currency) - closure information (dates when the system will be inactive and reasons for this inactivity) - event indicator (types of event and precise timing of their occurrence within the system concerned) This message will be replied to by a ReturnBusinessDayInformation message. Additional information on the generic design of the Get/Return messages can be found in the section How to Use the Cash Management Messages."
camt.019.001.07,ReturnBusinessDayInformationV07,"Scope The ReturnBusinessDayInformation message is sent by the transaction administrator to a member of the system. It is used to provide information on different types of administrative data linked to the system. The ReturnBusinessDayInformation message can be sent as a response to a related GetBusines DayInformation message (pull mode), or initiated by the transaction administrator (push mode). The push of information can take place either at prearranged times or as a warning or alarm when a problem has occurred. Usage The transaction administrator is in charge of providing the members with business information. The term business day information covers all information related to the management of the system, that is, not related to the transactions or requests created in the system. The type of business information available can vary depending on the system. The member can request information about the static data of the system through a series of criteria, corresponding to the known information stored within the transaction administrator. Based on the criteria received within the request, the transaction administrator will select items that match the request and report them to the requester. The transaction administrator may also send a ReturnBusinessDayInformation message with pre-defined information at times previously agreed with the member or to warn the member about a particular problem that may have arisen and which needs attention. The message from the transaction administrator can contain information based on the following elements: - identification of the system - status of the system and period in which this status is valid - currency within the system concerned and details of the hours of availability linked to that particular currency - events related to the functioning of the system and the timing of their occurrence Additional information on the generic design of the Get/Return messages can be found in the MDR Part 1 section How to Use the Cash Management Messages."
camt.020.001.04,GetGeneralBusinessInformationV04,"Scope The GetGeneralBusinessInformation message is sent by a member to the transaction administrator. It is used to request information on a broadcast-type message previously sent by the transaction administrator to all or some of the members, giving information related to the processing business. Usage The transaction administrator can send general business information messages to the members, which may request further action from them. General business information can contain either static data announcing foreseen events affecting the system operations, or dynamic data warning or notifying about unexpected events. This type of information can be transmitted in either of the two following ways: - non-solicited reports are pushed by the transaction administrator to the (selected) members together with a reference, a qualifier and a subject line - upon request from the members (pull mode), the transaction administrator delivers the full text/content of the message back to the user The Get General Business Information message is used in this second context. At any time during the operating hours of the system, the member can query the transaction administrator to get information about a report of general business information previously sent. The member can request information based on the following elements: - reference of the report previously delivered - subject of the report previously delivered, detailing the purpose and content of the message - priority of the report previously sent, and indication of its format. (Note that if the format is indicated, the subject refers to a set of pre-agreed texts. This enumeration has to be agreed upon by the transaction administrator and the members of the system.) - details of the previously sent message This message will be replied to by a ReturnGeneralBusinessInformation message. Additional information on the generic design of the Get/Return messages can be found in the section How to Use the Cash Management Messages."
camt.021.001.06,ReturnGeneralBusinessInformationV06,"Scope The ReturnGeneralBusinessInformation message is sent by the transaction administrator to a member of the system. It is used to provide some or all of the members with information related to the processing of the system. The Return General Business Information message can be sent as a response to a related GetGeneralBusinessInformation message (pull mode) or initiated by the transaction administrator (push mode). The push of information can take place either at prearranged times or as a warning or alarm when a problem has occurred. Usage The transaction administrator can send general business information messages to the members, which may request further action from them. General business information can contain either static data announcing foreseen events affecting the system operations, or dynamic data warning or notifying about unexpected events. This type of information can be transmitted in either of the two following ways: - non-solicited reports are pushed by the transaction administrator to the (selected) members together with a reference, a qualifier and a subject line - upon request from the members (pull mode), the transaction administrator delivers the full text/content of the message back to the user In either case, the message from the transaction administrator can contain information based on the following elements: - subject of the report detailing the purpose and content of the message - details of the report - indication of the priority of the report and of its format. (Note that if the format is indicated, the subject refers to a set of pre-agreed texts. This enumeration has to be agreed upon by the transaction administrator and the members of the system). Additional information on the generic design of the Get/Return messages can be found in the MDR Part 1 section How to Use the Cash Management Messages."
