OSMP MDR - ISO 20022 Data Dictionary (Full eRepository)
Source: ISO 20022 eRepository 2025-04-24
"Unique definitions: 66,956","Raw: 9,131,908 bytes","D:PACK: 1,170,864 bytes"
ConvertedAmount,Amount following a foreign exchange conversion.,2
ConvertedBankPayment,Transaction is related to converted (bank) payment. Conversion of physical instrument to electonric form for transmission to the paying bank and where the original paper document does not continue in the clearing process.The instrument rules change upon conversion.,1
Convertible,Indicates whether the interest bearing instrument is convertible into another type of financial instrument or not.,1
ConvertibleBond,Balance attributed to convertible bonds.,1
ConvertibleBond,Bond of type convertible bond.,1
ConvertibleBond,"Bond that can be exchanged for specified amounts of common stock in the issuing firm. The conversion process cannot be reversed, and the conversion details are described in the bond's indenture.",1
ConvertibleCommonStock,Asset is a convertible common stock.,1
ConvertibleCommonStock,Convertible Common Stock.,1
ConvertibleCorporateDebt,Asset is a convertible corporate debt.,1
ConvertibleCorporateDebt,Convertible Corporate Debt.,1
ConvertibleIndicator,Indicates whether the interest bearing security is convertible into another type of security.,6
ConvertibleIndicator,Indicates whether the investor or the issuer has a conversion option.,4
ConvertiblePreferredStock,Asset is a convertible preferred stock.,1
ConvertiblePreferredStock,Convertible Preferred Stock.,1
Convexity,Measure of change in duration (linear measure of changes in bond price in reaction to interest rate changes) of a bond as interest rate changes over time.,1
Convey,Convey reconciliation totals,1
CoolantTemperature,Temperature of the coolant as determined by the vehicle monitoring system.,1
CoolingDegreeDay,Cooling degree day,2
CooperativeExemption,Cooperative exemption.,1
Copenhagen,Code for Copenhagen.,1
Copper,Commodity attribute of type copper.,1
Copy,"Message is being sent as a copy to a party other than the account owner, for information purposes.",1
Copy,Message item is present if it was present in a previous related message with the same value.,1
CopyDetails,Information provided when the message is a copy of a previous message.,116
CopyDetails,Message is a copy.,10
CopyDuplicate,"Indicates whether the message is a Copy, a Duplicate or a copy of a duplicate of a previously sent ISO 20022 Message.",8
CopyDuplicate,"Indicates whether the message is a copy, a duplicate or a copy of a duplicate of a previously sent ISO 20022 message.",1
CopyDuplicate,"Message is being sent as a copy to a party other than the account owner, for information purposes and the message is a duplicate of a message previously sent.",1
CopyDuplicate,"Specifies if this document is a copy, a duplicate, or a duplicate of a copy.",6
CopyDuplicate1Code,"Specifies if this document is a copy, a duplicate, or a duplicate of a copy.",1
CopyDuplicateCode,"Specifies if this document is a copy, a duplicate, or a duplicate of a copy.",1
CopyDuplicateIndicator,"Indicates whether the document is a copy, a duplicate, or a duplicate of a copy.",36
CopyDuplicateIndicator,"Specifies if this document is a copy, a duplicate, or a duplicate of a copy.",3
CopyIndicator,Indicates whether the document is a copy.,1
CopyIndicator,Indicates whether the message is a copy.,5
CopyIndicator,Indication whether the document may be a copy of the original document.,1
CopyIndicator,Indicator that the document is a copy of the original document.,3
CopyIndicator,"Specifies if this document is a copy, a duplicate, or a duplicate of a copy.",3
CopyInformation1,Information provided when the message is a copy of a previous message.,1
CopyInformation2,Information provided when the message is a copy of a previous message.,1
CopyInformation3,Information provided when the message is a copy of a previous message.,1
CopyInformation4,Information provided when the message is a copy of a previous message.,1
CopyInformation5,Information provided when the message is a copy of a previous message.,1
CopyRecipient,Party to receive a copy of the message.,1
Copyright,Transaction is a payment of copyright.,1
Copyright,Transaction is payment of copyright.,2
CoreIndicator,"Indicates whether the component is considered a core part of the margin model. Usage: In the context of European central counterparties, if the component is included in backtesting procedures in order to assess the performance of the initial margin model as required by EMIR RTS Article (49)(1). ",1
CoreInstructionOversubscriptionQuantityAndExtensionTransactionDetailsDifference,There is summary difference between core oversubscription quantity and extension transaction details.,2
CoreInstructionQuantityAndExtensionTransactionDetailsDifference,There is a summary difference between the core instruction quantity and the extension transaction details.,2
CoreNoRefund,SEPA Core Direct Debit with ‘no refund’ option,1
CornfirmedDetailed,Fund detailed confirmed cash forecast report (camt.043).,1
Corporate,Corporate,1
Corporate,Identifies categories of instruments issued by corporates.,2
Corporate,The entity is a corporate.,1
Corporate,The fund is constituted as a company. It issues shares and the investors are the shareholders. The fund is run by a management company which may or may not delegate to third agens certain investment and/or administration tasks.,1
Corporate Action Supplementary Data - DTCC - ISO Archive,This message set provides for the archived versions of the extensions messages designed by DTCC (The Depository Trust & Clearing Corporation) as per the ISO 20022 Supplementary Data principles and rules and intended to be used as extensions of the Corporate Action subsets messages.,1
Corporate Action Supplementary Data - DTCC - ISO Latest version,Set of extensions messages designed by DTCC (The Depository Trust & Clearing Corporation) as per the ISO 20022 Supplementary Data principles and rules and intended to be used as extensions of the Corporate Action subsets messages.,1
Corporate Actions - ISO - Latest version,"Set of messages used by intermediaries, such as (I)CSD's, global custodians or local custodians, involved in the corporate action processing chain between the issuer (agent) and the investors. The messages support corporate action events announcements and entitlements, elections, reminders, movements preliminary advices, movements confirmations, movements reversals and status reporting.",1
Corporate Actions - ISO - Previous version,"Set of messages used by intermediaries, such as (I)CSD's, global custodians or local custodians, involved in the corporate action processing chain between the issuer (agent) and the investors. The messages support corporate action events announcements and entitlements, elections, reminders, movements preliminary advices, movements confirmations, movements reversals and status reporting.  ",1
Corporate Actions - ISO 15022 Variants - ISO - Latest version,"This Message Definition Report provides the description of the ISO15022 Variants of the current version of the Corporate Actions message definitions. These variants have been developed by SWIFT to help ISO 20022 users who need to be interoperable with the ISO 15022 Corporate Actions message types. This has been done by restricting the ISO 20022 message components wherever necessary to ensure compatibility with the equivalent fields in ISO 15022. For more information, please refer to the ISO 15022 Variants Business Justification that is available at http://www.iso20022.org/documents/BJ/BJ096/ISO20022BJ_15022_variants_v3_with_comments.doc  These variants are maintained by SWIFT. Requests for changes to these variants should be addressed directly to SWIFT.",1
Corporate Actions - ISO 15022 Variants - ISO - Previous version,"This Message Definition Report provides the description of the ISO15022 Variants of the current version of the Corporate Actions message definitions. These variants have been developed by SWIFT to help ISO 20022 users who need to be interoperable with the ISO 15022 Corporate Actions message types. This has been done by restricting the ISO 20022 message components wherever necessary to ensure compatibility with the equivalent fields in ISO 15022. For more information, please refer to the ISO 15022 Variants Business Justification that is available at http://www.iso20022.org/documents/BJ/BJ096/ISO20022BJ_15022_variants_v3_with_comments.doc  These variants are maintained by SWIFT. Requests for changes to these variants should be addressed directly to SWIFT.",1
Corporate Actions - ISO 15022 Variants - ISO Archive,This message set provides for the archived versions of the ISO 150222 variants of the Corporate Actions message definitions.,1
Corporate Actions - ISO Archive,"This message set contains the archived verions of the Corporate Action message definitions used by intermediaries, such as (I)CSD's, global custodians or local custodians, involved in the corporate action processing chain between the issuer (agent) and the investors. The messages support corporate action events announcements and entitlements, elections, reminders, movements preliminary advices, movements confirmations, movements reversals and status reporting.",1
Corporate144aDesignatedInvestors,"Asset is a corporate debt, subject to 144a, designated investors.",1
Corporate144aDesignatedInvestors,"Corporate debt, subject to 144a, designated investors.",1
Corporate1Rule,"If PrimaryCorporateInvestor is not present, then SecondaryCorporateInvestor is not allowed. If PrimaryCorporateInvestor is present, then SecondaryCorporateInvestor may be present. ",9
Corporate2Rule,"If PrimaryCorporateInvestor is not present, then OtherCorporateInvestor is not allowed. If PrimaryCorporateInvestor is present, then OtherCorporateInvestor may be present.",9
CorporateAction,Corporate action for which fees and charges are specified.,1
CorporateAction,Corporate action for which the proceeds are specified.,1
CorporateAction,Corporate action pending on the financial instrument instructed.,2
CorporateAction,Relates to a corporate action.,4
CorporateAction,Result of a corporate action.,2
CorporateAction,Set of elements identifying the underlying corporate action.,1
CorporateAction,Set of elements used to identify the underlying corporate action.,11
CorporateAction,Settlement of corporate actions.,1
CorporateAction1,"An event determined by a corporation's board of directors, that changes the existing corporate capital structure or financial condition.",1
CorporateAction10,Provides information about the corporate action event.,1
CorporateAction12,Provides information about the corporate action event.,1
CorporateAction13,Provides information about the corporate action event.,1
CorporateAction14,Provides information about the corporate action event.,1
CorporateAction1Choice,Choice of formats for the corporate action event type.,1
CorporateAction2,Provides information about the CA event.,1
CorporateAction24,Provides information about the corporate action event.,1
CorporateAction3,Provides information about the corporate action event.,1
CorporateAction31,Provides information about the corporate action event.,1
CorporateAction32,Provides information about the corporate action event.,1
CorporateAction33,Provides information about the corporate action event.,1
CorporateAction34,Provides information about the corporate action event.,1
CorporateAction35,Provides information about the corporate action event.,1
CorporateAction36,Provides information about the corporate action event.,1
CorporateAction38,Provides information about the corporate action event.,1
CorporateAction40,Provides information about the corporate action event.,1
CorporateAction41,Provides information about the corporate action event.,1
CorporateAction42,Provides information about the corporate action event.,1
CorporateAction43,Provides information about the corporate action event.,1
CorporateAction44,Provides information about the corporate action event.,1
CorporateAction45,Provides information about the corporate action event.,1
CorporateAction46,Provides information about the corporate action event.,1
CorporateAction47,Provides information about the corporate action event.,1
CorporateAction48,Provides information about the corporate action event.,1
CorporateAction49,Provides information about the corporate action event.,1
CorporateAction5,Provides information about the corporate action event.,1
CorporateAction51,Provides information about the corporate action event.,1
CorporateAction52,Provides information about the corporate action event.,1
CorporateAction53,Provides information about the corporate action event.,1
CorporateAction55,Provides information about the corporate action event.,1
CorporateAction56,Provides information about the corporate action event.,1
CorporateAction57,Provides information about the corporate action event.,1
CorporateAction58,Provides information about the corporate action event.,1
CorporateAction59,Provides information about the corporate action event.,1
CorporateAction60,Provides information about the corporate action event.,1
CorporateAction61,Provides information about the corporate action event.,1
CorporateAction62,Provides information about the corporate action event.,1
CorporateAction63,Provides information about the corporate action event.,1
CorporateAction64,Provides information about the corporate action event.,1
CorporateAction65,Provides information about the corporate action event.,1
CorporateAction66,Provides information about the corporate action event.,1
CorporateAction67,Provides information about the corporate action event.,1
CorporateAction68,Provides information about the corporate action event.,1
CorporateAction69,Provides information about the corporate action event.,1
CorporateAction7,Provides information about the corporate action event.,1
CorporateAction70,Provides information about the corporate action event.,1
CorporateAction71,Provides information about the corporate action event.,1
CorporateAction72,Provides information about the corporate action event.,1
CorporateAction73,Provides information about the corporate action event.,1
CorporateAction74,Provides information about the corporate action event.,1
CorporateAction75,Provides information about the corporate action event.,1
CorporateAction76,Provides information about the corporate action event.,1
CorporateAction77,Provides information about the corporate action event.,1
CorporateAction78,Provides information about the corporate action event.,1
CorporateAction79,Provides information about the corporate action event.,1
CorporateAction80,Provides information about the corporate action event.,1
CorporateAction81,Provides information about the corporate action event.,1
CorporateAction82,"An event determined by a corporation's board of directors, that changes the existing corporate capital structure or financial condition.",1
CorporateAction83,Provides information about the corporate action event.,1
CorporateAction84,Provides information about the corporate action event.,1
CorporateAction85,Provides information about the corporate action event.,1
CorporateAction86,Provides information about the corporate action event.,1
CorporateAction87,Provides information about the corporate action event.,1
CorporateAction9,"An event determined by a corporation's board of directors, that changes the existing corporate capital structure or financial condition.",1
CorporateActionAcknowledgementSD1,Acknowledgement information relative to corporate action reorganisation instructions.,1
CorporateActionActivity,Transaction relates to corporate action.,1
CorporateActionAdditionalInformation,Additional information about the corporate action such as the delivery details.,2
CorporateActionAdditionalInformation,Provides additional information.,2
CorporateActionAdditionalInformation1,"Provides additional information about the delivery details, beneficial owner details, etc.",1
CorporateActionAgent,"A firm authorised to act as an intermediary between issuer and shareholders. It takes care of the needs of the shareholders such as reporting, inquiries and regulatory compliance.",1
CorporateActionAgent1,Provides information about the agent.,1
CorporateActionAgent2,Detailed information about agents involved into a corporate action event.,1
CorporateActionAmendmentProcessingStatus1,Provide processing status information of an election amendment request.,1
CorporateActionAmendmentRejectionStatus1,Provides reason of the rejection of an election amendment request.,1
CorporateActionAmounts1,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts10,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts11,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts13,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts15,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts16,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts17,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts19,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts2,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts21,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts22,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts23,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts27,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts28,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts29,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts3,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts33,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts36,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts37,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts38,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts39,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts4,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts40,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts41,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts42,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts43,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts44,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts45,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts46,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts47,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts48,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts49,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts50,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts51,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts52,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts53,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts54,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts55,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts56,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts57,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts58,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts59,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts6,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts60,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts61,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts62,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts63,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts64,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts66,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts67,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts68,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts69,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts70,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts71,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts72,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts73,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts74,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts75,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts76,Specifies amounts in the framework of a corporate action event.,1
CorporateActionAmounts9,Specifies amounts in the framework of a corporate action event.,1
CorporateActionBalance41,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalance42,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalance44,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalance45,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalance46,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalance47,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalance48,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalance49,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalance50,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalance51,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalanceDetails,Information to be extended as supplementary data to corporate action balance details.,5
CorporateActionBalanceDetails1,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalanceDetails10,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalanceDetails11,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalanceDetails12,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalanceDetails17,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalanceDetails18,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalanceDetails2,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalanceDetails21,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalanceDetails22,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalanceDetails29,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalanceDetails3,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalanceDetails30,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalanceDetails31,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalanceDetails32,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalanceDetails33,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalanceDetails34,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalanceDetails35,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalanceDetails36,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalanceDetails37,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalanceDetails38,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalanceDetails39,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalanceDetails4,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalanceDetails40,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalanceDetails41,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalanceDetails42,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalanceDetails43,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalanceDetails44,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalanceDetails45,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalanceDetails46,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalanceDetails47,Account balances shared with issuer agent.,1
CorporateActionBalanceDetails9,Eligible and not eligible balance of securities for a corporate action event.,1
CorporateActionBalanceSD4,Provides additional information regarding corporate action balance details.,1
CorporateActionBalanceSD5,Provides additional information regarding corporate action balance details.,1
CorporateActionCalculationMethod1Code,Specifies the calculation method for drawings.,1
CorporateActionCalculationMethod1FormatChoice,Choice of formats to express the calculation method for drawings.,1
CorporateActionCalculationMethodCode,Specifies the calculation method.,1
CorporateActionCancellation1,Corporate action event cancellation status and reason.,1
CorporateActionCancellation2,Corporate action event cancellation status and reason.,1
CorporateActionCancellation3,Corporate action event cancellation status and reason.,1
CorporateActionCancellation4,Corporate action event cancellation status and reason.,1
CorporateActionCancellationAdvice002V06,"Scope An account servicer sends the CorporateActionCancellationAdvice message to an account owner or its designated agent to cancel a previously announced corporate action event in case of error from the account servicer or in case of withdrawal by the issuer. Usage The message may also be used to: - re-send a message previously sent (the sub-function of the message is Duplicate), - provide a third party with a copy of a message for information (the sub-function of the message is Copy), - re-send to a third party a copy of a message for information (the sub-function of the message is Copy Duplicate), using the relevant elements in the business application header (BAH).",1
CorporateActionCancellationAdvice002V07,"Scope An account servicer sends the CorporateActionCancellationAdvice message to an account owner or its designated agent to cancel a previously announced corporate action event in case of error from the account servicer or in case of withdrawal by the issuer. Usage The message may also be used to: - re-send a message previously sent (the sub-function of the message is Duplicate), - provide a third party with a copy of a message for information (the sub-function of the message is Copy), - re-send to a third party a copy of a message for information (the sub-function of the message is Copy Duplicate), using the relevant elements in the business application header (BAH).",1
CorporateActionCancellationAdvice002V08,"Scope An account servicer sends the CorporateActionCancellationAdvice message to an account owner or its designated agent to cancel a previously announced corporate action event in case of error from the account servicer or in case of withdrawal by the issuer. Usage The message may also be used to: - re-send a message previously sent (the sub-function of the message is Duplicate), - provide a third party with a copy of a message for information (the sub-function of the message is Copy), - re-send to a third party a copy of a message for information (the sub-function of the message is Copy Duplicate), using the relevant elements in the business application header (BAH).",1
CorporateActionCancellationAdvice002V09,"Scope The CorporateActionCancellationAdvice message is sent by an account servicer to an account owner or its designated agent to cancel a previously announced corporate action event in case of error from the account servicer or in case of withdrawal by the issuer. Usage The message may also be used to: - re-send a message previously sent (the sub-function of the message is Duplicate), - provide a third party with a copy of a message for information (the sub-function of the message is Copy), - re-send to a third party a copy of a message for information (the sub-function of the message is Copy Duplicate), using the relevant elements in the business application header (BAH).",1
CorporateActionCancellationAdvice002V10,"Scope The CorporateActionCancellationAdvice message is sent by an account servicer to an account owner or its designated agent to cancel a previously announced corporate action event in case of error from the account servicer or in case of withdrawal by the issuer. Usage The message may also be used to: - re-send a message previously sent (the sub-function of the message is Duplicate), - provide a third party with a copy of a message for information (the sub-function of the message is Copy), - re-send to a third party a copy of a message for information (the sub-function of the message is Copy Duplicate), using the relevant elements in the business application header (BAH).",1
CorporateActionCancellationAdvice002V11,"Scope The CorporateActionCancellationAdvice message is sent by an account servicer to an account owner or its designated agent to cancel a previously announced corporate action event in case of error from the account servicer or in case of withdrawal by the issuer. Usage The message may also be used to: - re-send a message previously sent (the sub-function of the message is Duplicate), - provide a third party with a copy of a message for information (the sub-function of the message is Copy), - re-send to a third party a copy of a message for information (the sub-function of the message is Copy Duplicate), using the relevant elements in the business application header (BAH).",1
CorporateActionCancellationAdvice002V12,"Scope The CorporateActionCancellationAdvice message is sent by an account servicer to an account owner or its designated agent to cancel a previously announced corporate action event in case of error from the account servicer or in case of withdrawal by the issuer. Usage The message may also be used to: - re-send a message previously sent (the sub-function of the message is Duplicate), - provide a third party with a copy of a message for information (the sub-function of the message is Copy), - re-send to a third party a copy of a message for information (the sub-function of the message is Copy Duplicate), using the relevant elements in the business application header (BAH).",1
CorporateActionCancellationAdvice002V13,"Scope The CorporateActionCancellationAdvice message is sent by an account servicer to an account owner or its designated agent to cancel a previously announced corporate action event in case of error from the account servicer or in case of withdrawal by the issuer. Usage The message may also be used to: - re-send a message previously sent (the sub-function of the message is Duplicate), - provide a third party with a copy of a message for information (the sub-function of the message is Copy), - re-send to a third party a copy of a message for information (the sub-function of the message is Copy Duplicate), using the relevant elements in the business application header (BAH).",1
CorporateActionCancellationAdviceV01,"Scope An account servicer sends the CorporateActionCancellationAdvice message to an account owner or its designated agent to cancel a previously announced corporate action event in case of error from the account servicer or in case of withdrawal by the issuer. Usage The message may also be used to: - re-send a message previously sent (the sub-function of the message is Duplicate), - provide a third party with a copy of a message for information (the sub-function of the message is Copy), - re-send to a third party a copy of a message for information (the sub-function of the message is Copy Duplicate). ISO 15022 - 20022 COEXISTENCE This ISO 20022 message is reversed engineered from ISO 15022. Both standards will coexist for a certain number of years. Until this coexistence period ends, the usage of certain data types is restricted to ensure interoperability between ISO 15022 and 20022 users. Compliance to these rules is mandatory in a coexistence environment. The coexistence restrictions are described in a Textual Rule linked to the Message Items they concern. These coexistence textual rules are clearly identified as follows: “CoexistenceXxxxRule”.",1
CorporateActionCancellationAdviceV02,"Scope An account servicer sends the CorporateActionCancellationAdvice message to an account owner or its designated agent to cancel a previously announced corporate action event in case of error from the account servicer or in case of withdrawal by the issuer. Usage The message may also be used to: - re-send a message previously sent (the sub-function of the message is Duplicate), - provide a third party with a copy of a message for information (the sub-function of the message is Copy), - re-send to a third party a copy of a message for information (the sub-function of the message is Copy Duplicate), using the relevant elements in the business application header (BAH). ISO 15022 - 20022 COEXISTENCE This ISO 20022 message is reversed engineered from ISO 15022. Both standards will coexist for a certain number of years. Until this coexistence period ends, the usage of certain data types is restricted to ensure interoperability between ISO 15022 and 20022 users. Compliance to these rules is mandatory in a coexistence environment. The coexistence restrictions are described in a Textual Rule linked to the Message Items they concern. These coexistence textual rules are clearly identified as follows: “CoexistenceXxxxRule”.",1
CorporateActionCancellationAdviceV03,"Scope An account servicer sends the CorporateActionCancellationAdvice message to an account owner or its designated agent to cancel a previously announced corporate action event in case of error from the account servicer or in case of withdrawal by the issuer. Usage The message may also be used to: - re-send a message previously sent (the sub-function of the message is Duplicate), - provide a third party with a copy of a message for information (the sub-function of the message is Copy), - re-send to a third party a copy of a message for information (the sub-function of the message is Copy Duplicate), using the relevant elements in the business application header (BAH). ISO 15022 - 20022 COEXISTENCE This ISO 20022 message is reversed engineered from ISO 15022. Both standards will coexist for a certain number of years. Until this coexistence period ends, the usage of certain data types is restricted to ensure interoperability between ISO 15022 and 20022 users. Compliance to these rules is mandatory in a coexistence environment. The coexistence restrictions are described in a Textual Rule linked to the Message Items they concern. These coexistence textual rules are clearly identified as follows: “CoexistenceXxxxRule”.",1
CorporateActionCancellationAdviceV04,"Scope An account servicer sends the CorporateActionCancellationAdvice message to an account owner or its designated agent to cancel a previously announced corporate action event in case of error from the account servicer or in case of withdrawal by the issuer. Usage The message may also be used to: - re-send a message previously sent (the sub-function of the message is Duplicate), - provide a third party with a copy of a message for information (the sub-function of the message is Copy), - re-send to a third party a copy of a message for information (the sub-function of the message is Copy Duplicate), using the relevant elements in the business application header (BAH). ISO 15022 - 20022 COEXISTENCE This ISO 20022 message is reversed engineered from ISO 15022. Both standards will coexist for a certain number of years. Until this coexistence period ends, the usage of certain data types is restricted to ensure interoperability between ISO 15022 and 20022 users. Compliance to these rules is mandatory in a coexistence environment. The coexistence restrictions are described in a Textual Rule linked to the Message Items they concern. These coexistence textual rules are clearly identified as follows: “CoexistenceXxxxRule”.",1
CorporateActionCancellationAdviceV05,"Scope An account servicer sends the CorporateActionCancellationAdvice message to an account owner or its designated agent to cancel a previously announced corporate action event in case of error from the account servicer or in case of withdrawal by the issuer. Usage The message may also be used to: - re-send a message previously sent (the sub-function of the message is Duplicate), - provide a third party with a copy of a message for information (the sub-function of the message is Copy), - re-send to a third party a copy of a message for information (the sub-function of the message is Copy Duplicate), using the relevant elements in the business application header (BAH). ISO 15022 - 20022 COEXISTENCE This ISO 20022 message is reversed engineered from ISO 15022. Both standards will coexist for a certain number of years. Until this coexistence period ends, the usage of certain data types is restricted to ensure interoperability between ISO 15022 and 20022 users. Compliance to these rules is mandatory in a coexistence environment. The coexistence restrictions are described in a Textual Rule linked to the Message Items they concern. These coexistence textual rules are clearly identified as follows: “CoexistenceXxxxRule”.",1
CorporateActionCancellationAdviceV06,"Scope An account servicer sends the CorporateActionCancellationAdvice message to an account owner or its designated agent to cancel a previously announced corporate action event in case of error from the account servicer or in case of withdrawal by the issuer. Usage The message may also be used to: - re-send a message previously sent (the sub-function of the message is Duplicate), - provide a third party with a copy of a message for information (the sub-function of the message is Copy), - re-send to a third party a copy of a message for information (the sub-function of the message is Copy Duplicate), using the relevant elements in the business application header (BAH).",1
CorporateActionCancellationAdviceV07,"Scope An account servicer sends the CorporateActionCancellationAdvice message to an account owner or its designated agent to cancel a previously announced corporate action event in case of error from the account servicer or in case of withdrawal by the issuer. Usage The message may also be used to: - re-send a message previously sent (the sub-function of the message is Duplicate), - provide a third party with a copy of a message for information (the sub-function of the message is Copy), - re-send to a third party a copy of a message for information (the sub-function of the message is Copy Duplicate), using the relevant elements in the business application header (BAH).",1
